,"Underdispersion ratio (cases, daily, mean over weeks)","Underdispersion ratio (deaths, daily, mean over weeks)","Underdispersion ratio (cases, weekly, mean over 7-week blocks)","Underdispersion ratio (deaths, weekly, mean over 7-week blocks)",Underdispersion ratio (max)
Afghanistan,0.60,0.10,0.09,0.01,0.60
Albania,2.26,0.31,0.21,0.01,2.26
Algeria,2.66,0.58,0.34,0.01,2.66
American Samoa,1.00,0.96,1.00,0.90,1.00
Andorra,0.86,0.24,0.66,0.02,0.86
Angola,0.94,0.16,0.36,0.03,0.94
Anguilla,0.97,0.65,0.99,0.37,0.99
Antigua and Barbuda,0.85,0.44,0.52,0.14,0.85
Argentina,0.14,0.01,0.01,0.00,0.14
Armenia,1.04,0.06,0.08,0.00,1.04
Aruba,0.80,0.20,0.57,0.07,0.80
Australia,0.88,0.38,0.28,0.03,0.88
Austria,1.22,0.08,0.09,0.00,1.22
Azerbaijan,2.27,0.16,0.10,0.00,2.27
Bahamas,0.64,0.23,0.37,0.06,0.64
Bahrain,1.01,0.22,0.39,0.02,1.01
Bangladesh,1.03,0.06,0.05,0.00,1.03
Barbados,0.89,0.39,0.60,0.15,0.89
Belarus,15.82,0.27,3.29,0.01,15.82
Belgium,1.09,0.01,0.04,0.00,1.09
Belize,0.74,0.26,0.53,0.07,0.74
Benin,0.72,0.08,0.57,0.03,0.72
Bermuda,0.90,0.34,0.52,0.09,0.90
Bhutan,0.98,0.52,0.87,0.21,0.98
Bolivia (Plurinational State of),0.66,0.05,0.04,0.00,0.66
Bonaire,0.93,0.46,0.75,0.16,0.93
Bosnia and Herzegovina,0.71,0.07,0.13,0.01,0.71
Botswana,0.45,0.12,0.37,0.02,0.45
Brazil,0.04,0.01,0.00,0.00,0.04
British Virgin Islands,0.93,0.56,0.76,0.22,0.93
Brunei Darussalam,0.99,0.60,0.73,0.62,0.99
Bulgaria,0.28,0.04,0.12,0.00,0.28
Burkina Faso,0.65,0.20,0.52,0.05,0.65
Burundi,0.96,0.23,0.70,0.08,0.96
Cabo Verde,0.91,0.21,0.51,0.01,0.91
Cambodia,1.76,0.73,0.53,0.04,1.76
Cameroon,0.40,0.16,0.20,0.00,0.40
Canada,0.37,0.02,0.08,0.00,0.37
Cayman Islands,0.96,0.36,0.82,0.33,0.96
Central African Republic,0.87,0.27,0.50,0.05,0.87
Chad,0.86,0.52,0.48,0.07,0.86
Chile,0.26,0.03,0.09,0.00,0.26
China,0.92,0.43,0.41,0.02,0.92
Colombia,1.03,0.03,0.05,0.00,1.03
Comoros,0.96,0.32,0.55,0.08,0.96
Congo,0.60,0.12,0.34,0.01,0.60
Cook Islands,1.00,1.00,1.00,1.00,1.00
Costa Rica,1.42,0.08,0.20,0.01,1.42
Croatia,1.03,0.09,0.11,0.00,1.03
Cuba,1.33,0.31,0.32,0.01,1.33
Curaçao,0.80,0.24,0.55,0.10,0.80
Cyprus,0.91,0.30,0.51,0.05,0.91
Czechia,1.14,0.04,0.09,0.00,1.14
Côte d’Ivoire,0.70,0.07,0.41,0.01,0.70
Democratic People's Republic of Korea,1.00,1.00,1.00,1.00,1.00
Democratic Republic of the Congo,0.49,0.10,0.16,0.01,0.49
Denmark,1.36,0.11,0.21,0.00,1.36
Djibouti,0.90,0.34,0.51,0.03,0.90
Dominica,0.92,0.47,0.85,0.27,0.92
Dominican Republic,0.70,0.03,0.26,0.00,0.70
Ecuador,0.13,0.01,0.01,0.00,0.13
Egypt,3.61,1.66,0.10,0.00,3.61
El Salvador,3.68,0.25,0.46,0.01,3.68
Equatorial Guinea,0.78,0.22,0.50,0.03,0.78
Eritrea,0.91,0.25,0.84,0.05,0.91
Estonia,0.86,0.16,0.25,0.01,0.86
Eswatini,0.84,0.34,0.42,0.02,0.84
Ethiopia,0.84,0.11,0.16,0.01,0.84
Falkland Islands (Malvinas),1.00,0.85,1.00,0.60,1.00
Faroe Islands,0.97,0.62,0.83,0.17,0.97
Fiji,0.82,0.52,0.61,0.20,0.82
Finland,0.94,0.14,0.24,0.01,0.94
France,0.08,0.00,0.02,0.00,0.08
French Guiana,0.77,0.09,0.55,0.04,0.77
French Polynesia,0.80,0.26,0.55,0.12,0.80
Gabon,0.67,0.06,0.62,0.02,0.67
Gambia,0.69,0.25,0.49,0.08,0.69
Georgia,1.40,0.25,0.26,0.02,1.40
Germany,0.14,0.01,0.03,0.00,0.14
Ghana,0.46,0.04,0.24,0.00,0.46
Gibraltar,0.93,0.50,0.72,0.09,0.93
Greece,1.03,0.05,0.08,0.00,1.03
Greenland,0.98,0.67,0.98,0.30,0.98
Grenada,0.98,0.64,0.69,0.30,0.98
Guadeloupe,0.52,0.16,0.27,0.07,0.52
Guam,0.81,0.33,0.60,0.08,0.81
Guatemala,0.44,0.04,0.08,0.01,0.44
Guernsey,0.97,0.68,0.72,0.24,0.97
Guinea,0.77,0.09,0.63,0.02,0.77
Guinea-Bissau,0.78,0.28,0.55,0.04,0.78
Guyana,0.92,0.17,0.54,0.05,0.92
Haiti,0.64,0.12,0.44,0.03,0.64
Holy See,1.00,0.96,1.00,0.89,1.00
Honduras,0.29,0.04,0.07,0.00,0.29
Hungary,0.56,0.08,0.04,0.00,0.56
Iceland,0.92,0.49,0.67,0.07,0.92
India,0.29,0.01,0.00,0.00,0.29
Indonesia,0.36,0.03,0.04,0.00,0.36
Iran (Islamic Republic of),1.12,0.06,0.01,0.00,1.12
Iraq,1.43,0.04,0.11,0.00,1.43
Ireland,0.31,0.08,0.11,0.00,0.31
Isle of Man,0.86,0.59,0.70,0.17,0.86
Israel,1.28,0.05,0.06,0.00,1.28
Italy,0.26,0.02,0.02,0.00,0.26
Jamaica,0.69,0.17,0.48,0.05,0.69
Japan,0.55,0.06,0.02,0.00,0.55
Jersey,0.88,0.57,0.66,0.13,0.88
Jordan,1.05,0.12,0.21,0.01,1.05
Kazakhstan,0.35,0.07,0.11,0.00,0.35
Kenya,0.91,0.08,0.10,0.00,0.91
Kiribati,1.00,0.98,1.00,0.90,1.00
Kosovo[1],1.02,0.25,0.10,0.00,1.02
Kuwait,1.85,0.26,0.28,0.01,1.85
Kyrgyzstan,2.98,0.26,0.46,0.01,2.98
Lao People's Democratic Republic,0.98,0.55,0.78,0.28,0.98
Latvia,0.59,0.15,0.37,0.01,0.59
Lebanon,3.37,0.09,0.22,0.01,3.37
